"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDFG","WSFG"
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-01-01","0.17","0.0","2.0",,"43","33",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-01-02","0.01","0.1","0.0",,"33","9",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-01-03","0.00","0.0","0.0",,"9","2",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-01-04","0.00","0.0","0.0",,"31","8",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-01-05","0.00","0.0","0.0",,"35","28",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-01-06","0.00","0.0","0.0",,"45","30",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-01-07","0.00","0.0","0.0",,"46","30",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-01-08","0.00","0.1","0.0",,"31","21",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-01-09","0.00","0.0","0.0",,"40","27",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-01-10","0.00","0.0","0.0",,"41","33",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-01-11","0.00","0.0","0.0",,"38","29",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-01-12","0.46","1.5","0.0",,"40","33",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-01-13","0.03","0.3","0.0",,"40","13",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-01-14","0.00","0.0","0.0",,"14","4",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-01-15","0.00","0.0","0.0",,"20","1",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-01-16","0.03","0.0","0.0",,"39","11",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-01-17","0.15","0.0","0.0",,"48","23",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-01-18","0.00","0.0","0.0",,"23","14",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-01-19","0.03","0.6","0.0",,"29","14",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-01-20","0.06","1.2","0.8",,"19","10",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-01-21","0.03","0.8","2.8",,"26","11",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-01-22","0.00","0.0","1.6",,"34","9",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-01-23","0.33","0.0","0.8",,"45","33",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-01-24","0.02","0.2","0.0",,"36","28",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-01-25","0.09","0.9","0.0",,"30","27",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-01-26","0.02","0.1","0.4",,"33","26",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-01-27","0.54","1.2","0.0",,"37","28",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-01-28","0.07","0.7","0.0",,"36","25",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-01-29","0.02","0.6","0.0",,"33","22",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-01-30","0.28","3.0","0.4",,"30","22",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-01-31","0.00","0.0","3.1",,"50","26",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-02-01","0.00","0.0","0.0",,"50","33",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-02-02","0.00","0.0","0.0",,"33","28",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-02-03","0.00","0.0","0.0",,"37","28",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-02-04","0.00","0.0","0.0",,"35","25",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-02-05","0.00","0.0","0.0",,"39","29",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-02-06","0.00","0.0","0.0",,"46","29",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-02-07","0.00","0.0","0.0",,"36","19",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-02-08","0.00","0.0","0.0",,"36","16",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-02-09","0.00","0.0","0.0",,"42","21",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-02-10","0.05","0.6","0.0",,"32","18",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-02-11","0.19","2.2","2.0",,"18","6",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-02-12","0.05","1.4","2.8",,"27","13",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-02-13","0.00","0.0","2.8",,"38","22",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-02-14","0.08","0.9","0.8",,"33","27",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-02-15","0.01","0.2","0.8",,"38","27",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-02-16","0.02","0.2","0.0",,"40","28",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-02-17","0.00","0.0","0.0",,"38","28",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-02-18","0.28","4.3","2.4",,"34","20",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-02-19","0.00","0.0","2.4",,"28","15",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-02-20","0.00","0.0","1.6",,"36","10",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-02-21","0.07","0.5","0.8",,"39","21",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-02-22","0.00","0.0","0.0",,"42","31",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-02-23","0.00","0.0","0.0",,"44","28",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-02-24","0.45","3.6","0.0",,"39","30",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-02-25","0.03","0.3","0.8",,"30","21",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-02-26","0.00","0.0","0.8",,"31","15",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-02-27","0.00","0.0","0.4",,"47","26",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-02-28","0.00","0.0","0.0",,"36","23",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-02-29","0.31","2.7","0.0",,"34","29",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-01","0.11","1.4","1.2",,"39","30",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-02","0.23","0.0","0.0",,"44","33",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-03","0.01","0.1","0.0",,"45","30",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-04","0.00","0.0","0.0",,"30","7",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-05","0.00","0.0","0.0",,"26","6",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-06","0.00","0.0","0.0",,"38","14",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-07","0.00","0.0","0.0",,"62","28",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-08","0.09","0.0","0.0",,"57","30",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-09","0.06","0.9","0.0",,"36","19",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-10","0.00","0.0","0.0",,"33","13",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-11","0.00","0.0","0.0",,"63","31",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-12","0.16","0.0","0.0",,"58","33",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-13","0.00","0.0","0.0",,"63","39",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-14","0.00","0.0","0.0",,"62","34",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-15","0.07","0.0","0.0",,"67","42",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-16","0.00","0.0","0.0",,"66","44",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-17","0.00","0.0","0.0",,"49","41",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-18","0.00","0.0","0.0",,"72","40",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-19","0.00","0.0","0.0",,"74","49",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-20","0.00","0.0","0.0",,"74","48",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-21","0.00","0.0","0.0",,"76","49",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-22","0.00","0.0","0.0",,"79","48",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-23","0.20","0.0","0.0",,"61","52",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-24","0.00","0.0","0.0",,"56","45",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-25","0.00","0.0","0.0",,"64","40",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-26","0.00","0.0","0.0",,"41","27",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-27","0.01","0.0","0.0",,"41","20",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-28","0.00","0.0","0.0",,"64","36",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-29","0.00","0.0","0.0",,"39","27",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-30","0.01","0.1","0.0",,"41","24",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-03-31","0.00","0.0","0.0",,"50","31",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-04-01","0.09","0.1","0.0",,"43","35",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-04-02","0.00","0.0","0.0",,"53","33",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-04-03","0.00","0.0","0.0",,"52","29",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-04-04","0.00","0.0","0.0",,"51","36",,
"CA00615HMAK","TORONTO BUTTONVILLE A, ON CA","2012-04-05","0.00","0.0","0.0",,"47","32",,
