"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-01-01","0.02","0.4","0.0",,"32","25"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-01-02","0.04","0.4","0.8",,"11","-1"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-01-03","0.13","2.2","0.8",,"13","1"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-01-04","0.03","1.3","2.8",,"19","8"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-01-05","0.04","0.7","3.5",,"25","9"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-01-06","0.00","0.0","3.5",,"27","13"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-01-07","0.06","0.6","2.8",,"27","20"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-01-08","0.01","0.1","3.1",,"18","12"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-01-09","0.00","0.0","3.1",,"16","4"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-01-10","0.00","0.0","3.1",,"27","0"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-01-11","0.00","0.0","2.8",,"24","17"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-01-12","0.00","0.0","3.1",,"26","16"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-01-13","0.00","0.0","3.1",,"34","16"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-01-14","0.00","0.0","3.1",,"40","14"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-01-15","0.00","0.0","1.6",,"39","35"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-01-16","0.00","0.0","0.8",,"36","30"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-01-17","0.00","0.0","0.0",,"37","27"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-01-18","0.00","0.0","0.0",,"35","28"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-01-19","0.02","0.2","0.0",,"37","23"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-01-20","0.00","0.0","0.0",,"29","21"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-01-21","0.00","0.0","0.0",,"32","15"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-01-22","0.00","0.0","0.0",,"38","23"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-01-23","0.00","0.0","0.0",,"35","20"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-01-24","0.58","0.0","0.0",,"42","28"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-01-25","0.13","0.0","0.0",,"44","36"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-01-26","0.01","0.1","0.0",,"34","31"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-01-27","0.00","0.0","0.0",,"28","24"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-01-28","0.01","0.2","0.0",,"26","15"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-01-29","0.00","0.0","0.0",,"14","1"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-01-30","0.00","0.0","0.0",,"18","-4"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-01-31","0.00","0.0","0.0",,"24","7"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-02-01","0.00","0.0","0.0",,"27","12"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-02-02","0.08","0.7","0.0",,"31","10"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-02-03","0.00","0.0","2.0",,"34","20"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-02-04","0.00","0.0","0.8",,"32","9"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-02-05","0.00","0.0","0.4",,"32","20"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-02-06","0.00","0.0","0.0",,"22","9"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-02-07","0.00","0.0","0.0",,"28","9"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-02-08","0.00","0.0","0.0",,"31","11"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-02-09","0.13","2.1","0.0",,"25","15"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-02-10","0.06","0.5","2.0",,"27","18"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-02-11","0.00","0.0","2.0",,"31","15"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-02-12","0.00","0.0","1.6",,"31","9"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-02-13","0.01","0.3","0.8",,"29","11"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-02-14","0.00","0.0","1.2",,"30","22"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-02-15","0.00","0.0","0.0",,"29","27"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-02-16","0.00","0.0","1.2",,"36","24"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-02-17","0.08","0.6","1.2",,"33","24"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-02-18","0.00","0.0","2.0",,"34","27"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-02-19","0.00","0.0","1.6",,"38","28"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-02-20","0.00","0.0","1.2",,"40","24"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-02-21","0.00","0.0","0.0",,"39","21"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-02-22","0.35","2.5","0.0",,"33","21"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-02-23","0.02","0.2","2.0",,"36","27"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-02-24","0.02","0.2","2.0",,"34","20"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-02-25","0.31","2.8","2.4",,"22","19"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-02-26","0.18","1.7","4.3",,"34","17"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-02-27","0.16","1.2","5.5",,"37","28"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-02-28","0.00","0.0","4.7",,"40","31"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-03-01","0.00","0.0","3.1",,"38","30"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-03-02","0.00","0.0","2.4",,"42","26"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-03-03","0.00","0.0","2.4",,"41","26"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-03-04","0.00","0.0","2.0",,"38","25"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-03-05","0.00","0.0","1.6",,"43","23"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-03-06","0.00","0.0","0.0",,"48","25"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-03-07","0.00","0.0","0.0",,"53","27"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-03-08","0.00","0.0","0.0",,"57","28"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-03-09","0.00","0.0","0.0",,"58","26"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-03-10","0.00","0.0","0.0",,"48","27"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-03-11","0.00","0.0","0.0",,"54","39"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-03-12","0.50","0.0","0.0",,"45","42"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-03-13","0.95","0.0","0.0",,"43","41"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-03-14","0.04","0.0","0.0",,"42","36"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-03-15","0.01","0.0","0.0",,"56","36"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-03-16","0.00","0.0","0.0",,"63","30"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-03-17","0.00","0.0","0.0",,"64","36"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-03-18","0.00","0.0","0.0",,"65","36"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-03-19","0.00","0.0","0.0",,"70","34"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-03-20","0.00","0.0","0.0",,"39","36"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-03-21","0.00","0.0","0.0",,"42","29"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-03-22","0.33","0.0","0.0",,"47","28"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-03-23","0.20","0.0","0.0",,"42","36"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-03-24","0.00","0.0","0.0",,"59","27"
"CA00615S001","TORONTO NORTH YORK, ON CA","2010-03-25","0.00","0.0","0.0",,"47","29"
